project,total_runs,total_flaky_tests,avg_errors,avg_warnings,last_run,total_tests_analyzed,flaky_tests_detected,flaky_percentage,avg_failure_rate,median_failure_rate,severity_high,severity_medium,severity_low
commons-lang,4,12.0,0.0,0.0,2025-12-09_23-42-29,,,,,,,,
httpie,3,0.0,0.0,0.0,2025-12-09_23-42-29,3.0,1.0,33.333333333333336,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0
black,1,0.0,0.0,0.0,2025-12-09_23-20-11,,,,,,,,
flask,1,0.0,0.0,0.0,2025-12-09_23-20-08,,,,,,,,
celery,1,0.0,0.0,0.0,2025-12-09_23-20-29,,,,,,,,
httpx,1,0.0,0.0,0.0,2025-12-09_23-20-57,,,,,,,,
